name,voteCount,rating,address,cusine,cost,timing,Location,City,Days_Open
Seema Caterer,8,3.0,"10/3/1, Elgin, Kolkata","Fast Food, Sandwich, Burger, Beverages",300,"11am – 10pm (Mon-Sat),Closed (Sun)",Elgin,Kolkata,Mon-Sat
Taj Biryani,24,3.4,"3A, Rammohan Bera Lane, Park Circus Area, Kolkata","Street Food, Momos",300,11am – 1am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
A Kalam Hotel,12,3.2,"Shop 20, Lenin Sarani Road, Entally, Kolkata","Street Food, Momos",300,7am – 12midnight (Mon-Sun),Entally,Kolkata,Mon-Sun
Whooppee Café,7,3.0,"14, Syed Amir Ali Avenue, Opposite Quest Mall, Park Circus Area, Kolkata",Chinese,"1,000",11am – 8pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Hot Plate,38,3.5,"Shop 16B, Cantopher Lane, Near Zainab Parmacy, Entally, Kolkata",Chinese,250,"1pm – 5:30pm, 7:30pm – 1am (Mon-Sun)",Entally,Kolkata,Mon-Sun
The Calcutta House,Cuisines:,0.0,"41/1, Jannagar Road, Park Circus Area, Kolkata","Street Food, Chinese, North Indian, Fast Food",200,5pm – 4am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
New Qaiyum's Man Salwa Restaurant,Cuisines:,-1.0,"36A, Sir Syed Ahmed Road, Near Anjuman Girls Higher Secondary School, Entally, Kolkata","Street Food, Chinese, North Indian, Fast Food",300,-1,Entally,Kolkata,Mon-Sun
The Tiffin Box,51,2.8,"3A, Humayun Place, New Market Area, Kolkata","Chinese, Thai, Mughlai, North Indian",300,10am – 10pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Sufiyan Biryani,21,3.1,"40 Rafi Ahmed Kidwai Road, Wellesley, Kolkata","Chinese, Thai, Mughlai, North Indian",300,12:30pm – 1:30am (Mon-Sun),Wellesley,Kolkata,Mon-Sun
Lick N Chick,7,3.1,"7A, Mofidul Islam Lane, Entally, Kolkata","Rolls, Chinese",400,11am – 11pm (Mon-Sun),Entally,Kolkata,Mon-Sun
Monster Burger's,6,3.0,"24/1/1H/4, Bright Street, Park Circus Area, Kolkata","Rolls, Chinese",350,8am – 4am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Bubunjaan Kitchen,13,3.6,"Shop 1B, Gorachand Road, Beniapukur, Park Circus Area, Kolkata",Mishti,400,"11am – 7pm (Mon-Sat),Closed (Sun)",Park Circus Area,Kolkata,Mon-Sat
Iqbal by Deli Cravings,7,3.1,"225/2, A J C Bose Road, Minto Park, Kolkata",Mishti,400,11am – 10:30pm (Mon-Sun),Minto Park,Kolkata,Mon-Sun
Pavilion,10,3.3,"2A, Congress Exhibition Road, Park Circus Area, Kolkata","North Indian, Mughlai, Bengali",500,4pm – 2am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Labbaik Haji Biryani,7,3.0,"36/1, Ward 65, Tiljala Road, Park Circus Area, Kolkata","North Indian, Mughlai, Bengali",250,11am – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Dacca Mistano Bhandar,39,2.8,"Ground Floor,4 Syed Ahmed Road, Park Circus Area, Kolkata","Tea, Beverages",300,"8am – 1pm, 5pm – 10pm (Mon-Sun)",Park Circus Area,Kolkata,Mon-Sun
Junoon Spice,12,3.2,"5A, Lord Sinha Road Elgin, Kolkata","Tea, Beverages",200,12noon – 10pm (Mon-Sun),Lord Sinha Road Elgin,Kolkata,Mon-Sun
Calcutta Calling,4,3.0,"139H, Anandapalit Road, Entally, Kolkata","Rolls, Chinese",300,12:30pm – 11pm (Mon-Sun),Entally,Kolkata,Mon-Sun
Baba Kabab,7,3.1,"29, Cantopher Lane, Near Bel Masjid, Entally, Kolkata","Rolls, Chinese",200,11am – 11pm (Mon-Sun),Entally,Kolkata,Mon-Sun
New Flavours,4,3.1,"91/C, Elliot Road, Taltala, Kolkata","North Indian, Biryani, Chinese",300,12:30pm – 10:35pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
Yummerica Fries,9,3.2,"A/17/3A, Abanindra Nath Thakur Sarani, Ward 63, Camac Street Area, Kolkata","North Indian, Biryani, Chinese",400,12noon – 10pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Yummy Bites,18,3.2,"42A, Rawdon Street, Loudon Street Area, Kolkata","Bakery, Desserts",200,11am – 8pm (Mon-Sun),Loudon Street Area,Kolkata,Mon-Sun
Eggilicious,91,3.9,"6, Wood Street, Camac Street Area, Kolkata","Bakery, Desserts",250,8:30am – 8pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Yum Tum,19,2.6,"10/3, 5th Floor, Forum Mall, Elgin Road, Elgin, Kolkata",Bakery,400,11am – 10:30pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
Paratha Pandit,6,3.0,"26/B, Bright Street, Park Circus, Near 4 Number Bridge, Park Circus Area, Kolkata",Bakery,200,11am – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
The London Shakes,12,3.3,"3A, Ho Chi Minh Sarani, Little Russel Street, Chowringhee, Kolkata","Bakery, Desserts",400,11am – 11pm (Mon-Sun),Chowringhee,Kolkata,Mon-Sun
Roll Corner,7,3.1,"2B, Marquis Street, New Market, New Market Area, Kolkata","Bakery, Desserts",250,9am – 10pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
New Gharib Nawaz Restaurant,7,3.2,"6, Abdul Halim Lane, Taltala, Kolkata",Biryani,300,8am – 11pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
Add Life Nourish,8,3.2,"22, 5th Floor, Block A, Camac Street, Kankaria Estates, Park Street Area, Theatre Road, Kolkata",Biryani,400,"2pm – 8:30pm (Mon-Sat),Closed (Sun)",Theatre Road,Kolkata,Mon-Sat
Faltu Tea Centre,12,3.5,"66, Bentick Street, Esplanade, Kolkata","North Indian, South Indian, Chinese, Fast Food",100,7am – 11pm (Mon-Sun),Esplanade,Kolkata,Mon-Sun
Chocolate Hut,5,3.1,"Shop A 25, Darga Road, Near Axis Bank ATM, Park Circus Area, Kolkata","North Indian, South Indian, Chinese, Fast Food",200,"11am – 9pm (Mon-Sat), (Sun)",Park Circus Area,Kolkata,Mon-Sat
Baba Roll,4,3.1,"J L Road, Kolkata Municipal Corporation, Chowringhee, Kolkata","Beverages, Ice Cream",200,12noon – 9pm (Mon-Sun),Chowringhee,Kolkata,Mon-Sun
The Batter Box,66,3.7,"3rd Floor, 6B, Middleton Street, Camac Street Area, Kolkata","Beverages, Ice Cream",600,10am – 8pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Silver Dream,4,3.0,"10/C, M.L. Mitra Road, Near Park Circus, 7 Points, Park Circus Area, Kolkata","Fast Food, Rolls, Chinese",600,7am – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Jannat Restaurant & Caterer,51,2.9,"110/1A, Ward 44, Mahatma Gandhi Road, Esplanade, Kolkata","Fast Food, Rolls, Chinese",600,7am – 12midnight (Mon-Sun),Esplanade,Kolkata,Mon-Sun
On The Wheels,80,3.6,"4A Elgin Road, Sony Centre, Elgin, Kolkata","Biryani, North Indian, Street Food",200,"10am – 9pm (Mon-Fri),10am – 10pm (Sat),3:30pm...",Elgin,Kolkata,Mon-Fri
Madhuban,14,3.3,"14, Haji Mohammad Mohsim Square, Taltala, Kolkata","Biryani, North Indian, Street Food",250,11am – 10pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
Shri Shyam Kitchen,166,3.2,"28/2, Shakespeare Sarani, Centre Point Building, Theatre Road, Kolkata","North Indian, Chinese, Continental",250,6am – 10:30pm (Mon-Sun),Theatre Road,Kolkata,Mon-Sun
Aalishan Restaurant,104,3.5,"38, Bentinck Street, Near Paradise Cinema, Esplanade, Kolkata","North Indian, Chinese, Continental",600,12noon – 12midnight (Mon-Sun),Esplanade,Kolkata,Mon-Sun
Handa's Restaurant,177,3.5,"4, Gorkey Terrace, Kolkata Municipal Corporation, Minto Park, Kolkata","North Indian, Chinese, Mughlai, Biryani",400,9am – 9pm (Mon-Sun),Minto Park,Kolkata,Mon-Sun
Al Habib,25,3.5,"33, Royd Street, Wellesley, Kolkata","North Indian, Chinese, Mughlai, Biryani",400,7am – 11pm (Mon-Sun),Wellesley,Kolkata,Mon-Sun
Lala Kachori Wala,8,3.2,"129, Surendra Nath Banerjee Road, Janbazar Area, Dharmatala, Taltala, Kolkata","Chinese, Fast Food, Beverages",200,11am – 8pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
UFC Fried Chicken,69,3.4,"102, Collin Street, Taltala, Kolkata","Chinese, Fast Food, Beverages",300,11am – 12midnight (Mon-Sun),Taltala,Kolkata,Mon-Sun
