name,voteCount,rating,address,cusine,cost,timing,Location,City,Days_Open
Saima Restaurant,1502,3.6,"59E, Chowringhee Road, Near Rabindra Sadan Metro, Elgin, Kolkata","Fast Food, North Indian, Chinese",500,10:30am – 10:30pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
TGI Fridays,2398,4.2,"Forum Mall, 10/3, Elgin Road, Elgin, Kolkata","Biryani, North Indian, Fast Food","1,800",12noon – 12midnight (Mon-Sun),Elgin,Kolkata,Mon-Sun
ACS Chinese Flavour,845,3.6,"8, Elliot Road, Near Loreto Day School, Wellesley, Kolkata","Biryani, North Indian, Fast Food",350,12noon – 11pm (Mon-Sun),Wellesley,Kolkata,Mon-Sun
Hogg's Room,615,4.3,"Hotel Lindsay, 8A & 8B, Lindsay Street, New Market Area, Kolkata","Ice Cream, Desserts, Beverages",800,1pm – 9pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Zafran,333,3.8,"28/2C, Hare Krishna Konar Road, Entally, Kolkata","Ice Cream, Desserts, Beverages",300,12:30pm – 12midnight (Mon-Sun),Entally,Kolkata,Mon-Sun
New Noodle King,250,4.5,"28/H/23, Sir Sayed Ahmed Road, Poddopukur Moidan, Near Alisa Asiana Hall, Park Circus Area, Kolkata","Chinese, Italian, Continental",450,11am – 3am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Kabuliwala,92,4.1,"172, 7, Acharya Jagadish Chandra Bose Road, Park Circus Area, Kolkata","Chinese, Italian, Continental",600,12noon – 11:30pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Dosa Coffee,173,4.2,"11/1, Ideal Plaza, Sarat Bose Road, Elgin, Kolkata","North Indian, Chinese",400,9am – 7pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
Bombay Shiv Sagar,1394,4.1,"1st Floor, Pantaloons Building, Block B, 22, Camac Street Area, Kolkata","North Indian, Chinese",650,11am – 10:45pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Cakes,580,4.1,"42A, Rawdon Street, Loudon Street Area, Kolkata","Biryani, Mughlai, North Indian",250,7:30am – 10pm (Mon-Sun),Loudon Street Area,Kolkata,Mon-Sun
Nizam's,2423,3.8,"23/24, Hogg Street, New Market Area, Kolkata","Biryani, Mughlai, North Indian",450,11:30am – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Raj Spanish Cafe,1342,4.1,"7, Ground Floor, Sudder Street, New Market Area, Kolkata","Ice Cream, Beverages",600,8am – 10pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Haji Saheb,964,3.9,"26, Circus Avenue, Park Circus Area, Kolkata","Ice Cream, Beverages",800,12noon – 1am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Zeeshan,1564,3.9,"17, Syed Amir Ali Avenue, Park Circus Area, Kolkata","Biryani, Mughlai",600,12noon – 12midnight (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Sunset Resto Bar Lounge,198,4.4,"Lytton Hotel, 14 & 14/1, Sudder Street, New Market Area, Kolkata","Biryani, Mughlai","1,300","12:30pm – 12midnight (Mon, Tue, Wed, Thu, Sun)...",New Market Area,Kolkata,"Mon, Tue, Wed, Thu, Sun"
Charcoal Grill,962,4.0,"102 A & B, Park Street, Park Circus Area, Kolkata","North Indian, Mughlai, Bengali, Chinese",850,12noon – 11:30pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Stardom,243,4.1,"6B, Elgin Road, Near Bhawanipore College, Elgin, Kolkata","North Indian, Mughlai, Bengali, Chinese","1,000","12midnight – 4am, 8am – 12midnight (Mon-Sun)",Elgin,Kolkata,Mon-Sun
Cafe Mezzuna,3763,4.5,"10/3, 4th Floor, Forum Mall, Elgin Road, Elgin, Kolkata","Fast Food, North Eastern, Momos","1,600","12:30pm – 11pm (Mon),12noon – 11pm (Tue-Sun)",Elgin,Kolkata,Mon
New Lazeez Biryani,94,3.5,"29/H/16, Linton Street, Near Bell Masjid, Park Circus Area, Kolkata","Fast Food, North Eastern, Momos",250,12noon – 3am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
The Bhoj Company,609,4.1,"30A, Free School Street, New Market Area, Kolkata",Cafe,500,12noon – 10:30pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Berezia,125,4.3,"40A, AJC Bose Road, Opposite Nonapukur Tram Depot, Wellesley, Kolkata",Cafe,250,"12noon – 11pm (Mon),10am – 11pm (Tue-Fri),11am...",Wellesley,Kolkata,Mon
Be Kebabii,259,4.6,"60 A, Dr. Suresh Sarkar Road, Opposite Nihon Apartment, Puddapukur Maiden, Entally, Kolkata","North Indian, Chinese",300,11am – 12midnight (Mon-Sun),Entally,Kolkata,Mon-Sun
The Salt House,501,4.0,"40, 6th Floor, Shakespeare Sarani, Shakespeare Point, Theatre Road, Kolkata","North Indian, Chinese","1,800","12noon – 11:30pm (Mon),12noon – 12midnight...",Theatre Road,Kolkata,Mon
The Bikers Cafe,3156,4.1,"31, 1st Floor, Platinum Mall, Elgin Road, Elgin, Kolkata","Chinese, North Indian, Continental","1,100",7:30am – 11pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
Indies,926,4.3,"24A, Shakespeare Sarani, Camac Street Area, Kolkata","Chinese, North Indian, Continental",850,12noon – 11pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Chittoda's Suruchee Restaurant,1096,4.4,"2, Dacres Lane, Near Pearless Bhawan, Esplanade, Kolkata",Fast Food,300,"12noon – 9pm (Mon-Sat),Closed (Sun)",Esplanade,Kolkata,Mon-Sat
Kaidi Kitchen,1439,4.1,"12A, Abanindra Nath, Thakur Sarani, Camac Street Area, Kolkata",Fast Food,"1,300",12noon – 11pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Kookie Jar,1071,4.3,"42A, Rawdon Street, Loudon Street Area, Kolkata","Fast Food, North Indian",150,8am – 10pm (Mon-Sun),Loudon Street Area,Kolkata,Mon-Sun
The Chicken House,806,4.0,"29/1, Hare Krishna Kunal Road, Entally, Kolkata","Fast Food, North Indian",250,"12midnight – 3:30am, 12:01pm – 12midnight (Mon...",Entally,Kolkata,Mon-Sun
Shaina Chicken Corner,969,3.9,"1/1 Samshul Huda Road, Park Circus Area, Kolkata",Street Food,300,4pm – 11:30pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Deli Cravings,858,4.0,"225/2, A.J.C. Bose Road, Minto Park, Kolkata",Street Food,800,11am – 10:30pm (Mon-Sun),Minto Park,Kolkata,Mon-Sun
Dustarkhwan Restaurant,178,3.9,"6, Muzaffar Ahmed Street (Ripon Street), Wellesley, Kolkata",Cafe,550,12noon – 1am (Mon-Sun),Wellesley,Kolkata,Mon-Sun
Junglee Cafe,44,3.7,"Sukh Sadan Apartment, Acharya Jagadish Chandra Bose Road, Park Circus Area, Kolkata",Cafe,650,-1,Park Circus Area,Kolkata,Mon-Sun
Aaheli - The Peerless Inn,686,3.9,"The Peerless Inn Hotel, 12, Jawaharlal Nehru Road, New Market Area, Kolkata","Rolls, Kebab","2,000","12:30pm – 3pm, 7:30pm – 11pm (Mon-Sun)",New Market Area,Kolkata,Mon-Sun
Jam House,973,4.1,"1, AJC Bose Road, Near Shikshayatan College, Chowringhee, Kolkata","Rolls, Kebab","1,000","12midnight – 5:30am, 12:30pm – 12midnight (Mon-Sun)",Chowringhee,Kolkata,Mon-Sun
Golden Bowl,440,3.8,"19B, Nasiruddin Road, Near Park Circus Tram Depot, Park Circus Area, Kolkata","Fast Food, Ice Cream",600,12noon – 10:30pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Biggies Burger 'n' More,232,4.2,"6, Russel Street, Camac Street Area, Kolkata","Fast Food, Ice Cream",600,10:30am – 12midnight (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Scoop,2727,3.9,"3A, New Empire Building, Humayun Place, New Market Area, Kolkata",Biryani,"1,000",11am – 10pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Lazeez Biryani,683,3.6,"1/A, Opposite Maulali Mazar, Convent Road, Park Circus Area, Kolkata",Biryani,300,12noon – 4am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Nafeel Restaurant,1109,3.5,"2A, Congress Exhibition Row, Near Park Circus Tram Depot, Park Circus Area, Kolkata",Biryani,150,8am – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
EDabba,262,4.0,"3A, 1st Floor, Jawaharlal Nehru Road, Near Metro Gali, Esplanade, Kolkata",Biryani,300,11am – 11pm (Mon-Sun),Esplanade,Kolkata,Mon-Sun
Zaranj,835,4.0,"26, Jawaharlal Nehru Road, Near The Indian Museum, New Market Area, Kolkata",Fast Food,"2,200","12noon – 3pm, 7:30pm – 11pm (Mon, Wed, Thu, Fri...",New Market Area,Kolkata,Mon-Sun
Fabcafe By Fabindia,104,4.1,"7, Dr. U.N. Brahmachari Street, Loudon Street Area, Kolkata",Fast Food,900,11am – 10pm (Mon-Sun),Loudon Street Area,Kolkata,Mon-Sun
Maharaja,71,3.7,"55A, Mirza Galib Street, New Market Area, Kolkata","Fast Food, Chinese",200,11am – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Urban Tandoor,47,3.8,"217, Park Street, Near 4 Bridge, Park Circus Area, Kolkata","Fast Food, Chinese",400,11am – 12midnight (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Jyoti Vihar,1037,4.1,"3A/1, Ho Chi Minh Sarani, Camac Street Area, Kolkata","Sandwich, Fast Food, Beverages",300,"Closed (Mon),10am – 6pm (Tue-Sun)",Camac Street Area,Kolkata,Mon
Zikra Biryani N Shakes,16,3.2,"89D, Shakespear Sarani, Circus Avenue, Near Municipal Coorporation, Park Circus Area, Kolkata","Sandwich, Fast Food, Beverages",300,7pm – 2:30am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Chauhan Victoria Vada,32,3.9,"25A, Vardaan Market, Camac Street Area, Kolkata","Cafe, Fast Food, Desserts, Beverages, Sandwich, Coffee",300,11am – 10pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
K.C. Das,983,4.0,"11A, Esplanade East, New Market Area, Kolkata","Cafe, Fast Food, Desserts, Beverages, Sandwich, Coffee",100,7:30am – 7:30pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Nick 'N' Nack,326,3.9,"4A, Roy Street, Elgin, Kolkata","Biryani, Fast Food",200,9am – 10:30pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
Shibuji,168,3.9,"25A, Vardaan Market, Camac Street Area, Kolkata","Biryani, Fast Food",150,9:30am – 11pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Laxman's,86,3.9,"15 C, Sarat Bose Road, Elgin, Kolkata","Burger, Fast Food",300,11am – 11pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
New Jai Hind Dhaba,39,3.0,"29/H/16, Linton Street, Near Bell Masjid, Park Circus Area, Kolkata","Burger, Fast Food",200,12noon – 3am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Bismillah Stores,7,3.2,"7, Ground Floor, Dedar Baksh Lane, Taltala, Kolkata","North Indian, Chinese",250,12noon – 11pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
I Love Haldiram,274,3.7,"9, Camac Street Area, Kolkata","North Indian, Chinese",350,10am – 10pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Anadi Cabin,728,2.8,"9, Jawaharlal Nehru Road, New Market Area, Kolkata","Burger, American, Fast Food",250,11am – 9:30pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Amber,1186,3.8,"11, Waterloo Street, Esplanade, Kolkata","Burger, American, Fast Food","1,200","12noon – 3pm, 7pm – 11pm (Mon-Sun)",Esplanade,Kolkata,Mon-Sun
Food Quest,24,3.3,"1/2, Lord Sinha Road, Ward 63, Elgin, Kolkata","Chinese, Thai",150,9am – 11pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
Beefy Affair,94,3.6,"Shop 24/1/1/H4, Bright Street, Park Circus Area, Kolkata","Chinese, Thai",300,8am – 4am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Kainat Food Corner,Cuisines:,0.0,"25, Abdul Halim Lane, Taltala, Kolkata","Bengali, North Indian, Kebab",200,11am – 11pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
Eighty8+ Kafe,323,3.9,"88, Ground Floor, Chowringhee Road, HDFC Bank Building, Near PC Chandra, Elgin, Kolkata","Bengali, North Indian, Kebab",800,8am – 3am (Mon-Sun),Elgin,Kolkata,Mon-Sun
Ruchika Restaurant,284,3.8,"4, Humayun Place, New Market Area, Kolkata","Chinese, North Indian",500,12noon – 9:30pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Mintelaa,483,3.9,"2B, Gorky Terrace, Minto Park, Kolkata","Chinese, North Indian","1,100",11am – 2am (Mon-Sun),Minto Park,Kolkata,Mon-Sun
Hotel Sidheshwari Ashram,208,4.0,"19, Rani Rashmohani Road, New Market Area, Kolkata",Rolls,150,"9am – 4pm, 7pm – 11pm (Mon-Sun)",New Market Area,Kolkata,Mon-Sun
Aminia,3203,3.8,"6A, S.N. Banerjee Road, New Market Area, Kolkata",Rolls,700,10:30am – 10:30pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Russel Punjabi Dhaba,645,3.7,"41, Chowringhee Road, Chowringhee, Kolkata","Bakery, Desserts, Fast Food",500,7am – 12:30am (Mon-Sun),Chowringhee,Kolkata,Mon-Sun
NU Variety,162,3.7,"1, Sarat Bose Road, Near Minto Park Crossing, Minto Park, Kolkata","Bakery, Desserts, Fast Food",250,9am – 9:30pm (Mon-Sun),Minto Park,Kolkata,Mon-Sun
Nepal Sweets,234,4.0,"16B, Elgin, Kolkata",Mishti,200,7am – 10pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
Afza,381,3.8,"Shop 82, Jhowtala Road, Park Circus Area, Kolkata",Mishti,500,12noon – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
S.C.R.S. Project Trishna,6,3.3,"5/2, Anandilal Poddar Sarani, Theatre Road, Kolkata","Rolls, Chinese",200,10am – 10pm (Mon-Sun),Theatre Road,Kolkata,Mon-Sun
Milee Droog Cafe & Bistro,994,4.3,"3, Ground Floor, Gorky Terrace, Gorky Sadan, Minto Park, Kolkata","Rolls, Chinese",900,10:30am – 10:30pm (Mon-Sun),Minto Park,Kolkata,Mon-Sun
Belgian Waffle Junction,238,4.4,"31, Sarat Bose Road, Elgin, Kolkata",North Indian,500,"10:30am – 11:30pm (Mon-Thu),10:30am – 12:30am...",Elgin,Kolkata,Mon-Thu
Fast N Fresh,20,3.2,"B/24/1/1/h/6, Bright Street, Park Circus Area, Kolkata",North Indian,300,11am – 12midnight (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
The City Wok,Cuisines:,0.0,"12, Opposite Bellevue Hospital, Loudon Street Area, Kolkata","Desserts, Beverages",600,11:30am – 10:30pm (Mon-Sun),Loudon Street Area,Kolkata,Mon-Sun
Delish Dhaba,748,3.5,"24 B, Syed Amir Ali Avenue, Opposite Quest Mall, Park Circus Area, Kolkata","Desserts, Beverages",700,12noon – 4:30am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
New Arafat Restaurant & Caterer,413,3.8,"75 B, Rafi Ahmed Kidwai Road, Wellesley, Kolkata","Rolls, Biryani",350,10am – 11pm (Mon-Sun),Wellesley,Kolkata,Mon-Sun
Kasturi Restaurant,1080,4.0,"7A, Mustaque Ahmed Street, New Market Area, Kolkata","Rolls, Biryani",500,11am – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Drunken Monkey,195,4.0,"Ground Floor, 2/5, Sarat Bose Road, Sukh Sagar Building, Minto Park, Kolkata","North Indian, Chinese",350,"8am – 12midnight (Mon-Sat),8:30am – 12midnight...",Minto Park,Kolkata,Mon-Sat
WBFC,449,3.7,43B ripon street Kolkata,"North Indian, Chinese",300,12noon – 4am (Mon-Sun),,43B ripon street Kolkata,Mon-Sun
Cadiz,Cuisines:,0.0,"234/3A, Acharya Jagadish Chandra Bose Rd, Minto Park, Kolkata","North Indian, Mughlai, Fast Food, Beverages",900,12noon – 3am (Mon-Sun),Minto Park,Kolkata,Mon-Sun
Krishna Kant Sharma Fuchka Wala,14,3.3,"25A, Camac Street, Vardaan Market, Camac Street Area, Kolkata","North Indian, Mughlai, Fast Food, Beverages",100,12noon – 9:30pm (Mon-Sun),Camac Street Area,Kolkata,Mon-Sun
Saiqa Restaurant,399,3.6,"36, Beck Bagan Row, Lower Range, Park Circus Area, Kolkata","Fast Food, Desserts",200,7am – 2am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Nahoum and Sons,1699,4.2,"F47, Hogg Market, New Market Area, Kolkata","Fast Food, Desserts",300,"9:30am – 8pm (Mon-Fri),9:30am – 7pm (Sat),9:30am...",New Market Area,Kolkata,Mon-Fri
Casa Kitchen,983,3.9,"234/1, Hotel Casa Fortuna, A.J.C. Bose Road, Minto Park, Kolkata","Biryani, Mughlai","1,200",7am – 11pm (Mon-Sun),Minto Park,Kolkata,Mon-Sun
Jashoda Mistanna Bhandar,127,3.8,"50/1, S.N  Banerjee Road, Taltala, Kolkata","Biryani, Mughlai",200,6am – 9:30pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
Bhojohori Manna,679,3.5,"11A, Sido Kanhu Dahar, Esplanade, Kolkata",Bengali,700,12noon – 10pm (Mon-Sun),Esplanade,Kolkata,Mon-Sun
Cafe Monte Carlo,100,3.7,"3/1, Mangoe Lane, Esplanade, Kolkata",Bengali,700,11am – 10:30pm (Mon-Sun),Esplanade,Kolkata,Mon-Sun
Blue Sky Cafe,1193,4.1,"3, Sudder Street, New Market Area, Kolkata","Beverages, Juices, Fast Food",650,8am – 10pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Tmk Kitchen’s,31,3.4,"29/1, Hare Krishna, Konar Road, Park Circus Area, Kolkata","Beverages, Juices, Fast Food",300,12noon – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Rayyan Chinese Flavour,128,3.8,"6A, Muzaffar Ahmed Street, Taltala, Kolkata","Biryani, Mughlai, Afghan",300,11am – 4am (Mon-Sun),Taltala,Kolkata,Mon-Sun
China Hut,55,3.6,"P-23, Ground Floor, Scheme 55, CIT Road, Park Circus Area, Kolkata","Biryani, Mughlai, Afghan",500,12noon – 10:30pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Taj Biryani & Restaurant,44,3.3,"114, Lenin Sarani, Moulali Crossing, Near CBSE Office, Taltala, Kolkata","Hyderabadi, North Indian",300,11:30am – 4am (Mon-Sun),Taltala,Kolkata,Mon-Sun
Tewari Confectioners,182,3.8,"233/5, A.J.C. Bose Road, Kandhari House, Minto Park, Kolkata","Hyderabadi, North Indian",200,7:30am – 8:30pm (Mon-Sun),Minto Park,Kolkata,Mon-Sun
ATS Arun Dhaba,583,3.7,"27, Shakespeare Sarani, Outram Street, Theatre Road, Kolkata",Chinese,350,9:30am – 11pm (Mon-Sun),Theatre Road,Kolkata,Mon-Sun
Naaz Snacks,12,3.2,"30/H/3, Linton Street, Park Circus Area, Kolkata",Chinese,300,9am – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Nawaazish,49,3.8,"3, Doctor Biresh Guha Street, Park Circus Area, Kolkata","North Indian, South Indian, Chinese",600,12:30pm – 11:30pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Shaan E Ayan,52,3.6,"4, Nawab Abdul Latif Street, Taltala, Kolkata","North Indian, South Indian, Chinese",350,1pm – 4am (Mon-Sun),Taltala,Kolkata,Mon-Sun
Al Baik Biryani & Fast Food Centre,73,3.3,"1A, Convent Road, Near Maula Ai Mazar, Park Circus Area, Kolkata","Fast Food, North Indian",400,12noon – 12midnight (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Sri Govind's Kitchen,13,3.2,"138/B, Collin Street, New Market Area, Kolkata","Fast Food, North Indian",200,11am – 10pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
SOI - The Asian Street Kitchen,616,4.3,"26, Jawaharlal Nehru Road, Near The Indian Museum, New Market Area, Kolkata","Fast Food, Healthy Food, Sandwich, Salad","1,200","12:30pm – 11pm (Mon, Wed, Thu, Fri, Sat, Sun)...",New Market Area,Kolkata,"Mon, Wed, Thu, Fri, Sat, Sun"
New Empire Bar,574,3.8,"3A, New Empire Building, Humayun Place, New Market Area, Kolkata","Fast Food, Healthy Food, Sandwich, Salad",950,12noon – 11:30pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Aura - Sky Bar & Brewhouse,169,3.9,"Aauris Hotel, 4 Robinson Street, Theatre Road, Kolkata",Burger,"2,000","4pm – 12midnight (Mon, Tue, Wed, Thu, Sun), 4pm...",Theatre Road,Kolkata,"Mon, Tue, Wed, Thu, Sun"
The Shake Factory,143,4.7,"31, Sarat Bose Road, Elgin, Kolkata",Burger,400,"10:30am – 11:30pm (Mon-Thu),10:30am – 12:20am...",Elgin,Kolkata,Mon-Thu
The Rouge,730,4.0,"222, Circular Mansion, AJC Bose Road, Park Circus Area, Kolkata","Rolls, Fast Food",400,9am – 10:30pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Kyra Kitchen,Cuisines:,0.0,"7, AJC Bose Road, Opposite Thrimurti Petrol Pump, Park Circus Area, Kolkata","Rolls, Fast Food",500,1pm – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Green Olive,11,3.2,"1, Suhrawardy Avenue, Kolkata Municipal Corporation, Park Circus Area, Kolkata",Cafe,500,12noon – 3am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Burger Express,9,3.1,"11, Mistry Para Lane, Beniapukur, Near Park Circus Area, Kolkata",Cafe,300,12noon – 4am (Mon-Sun),Near Park Circus Area,Kolkata,Mon-Sun
Aqua Java,222,3.4,"8/2 Loudon Street, Near Belle Vue Clinic, Loudon Street Area, Kolkata","North Indian, Chinese",750,"8am – 1am (Mon, Tue, Wed, Thu, Fri, Sun), 9am –...",Loudon Street Area,Kolkata,"Mon, Tue, Wed, Thu, Fri, Sun"
Meraz Fast Food,6,3.0,"20, Bright Street, Near Kafan Shop, Park Circus Area, Kolkata","North Indian, Chinese",150,12noon – 1am (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Hongkong Fried Chicken,Cuisines:,0.0,"32, Surendra Nath Banerjee Road, Taltala, Kolkata","Italian, Fast Food, Desserts, Beverages",300,12noon – 10pm (Mon-Sun),Taltala,Kolkata,Mon-Sun
Dalchini,14,3.3,"The Big Boss, 11/1A, Sarojini Naidu Sarani, Loudon Street Area, Kolkata","Italian, Fast Food, Desserts, Beverages",700,10am – 11:30pm (Mon-Sun),Loudon Street Area,Kolkata,Mon-Sun
Rush'R,96,3.4,"9C, Lord Sinha Road, Chowringhee, Kolkata","North Indian, Bengali, Mughlai",700,9am – 4am (Mon-Sun),Chowringhee,Kolkata,Mon-Sun
Lazeez,816,3.7,"83, Chowringhee Road, Elgin, Kolkata","North Indian, Bengali, Mughlai",500,11am – 10:30pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
Vien,79,3.8,"34 B, Shakespeare Sarani, Ward 63, Theatre Road, Kolkata",Burger,100,7am – 8:30pm (Mon-Sun),Theatre Road,Kolkata,Mon-Sun
Cloud Kitchen,226,4.1,"60/1, Chowringhee, Kolkata",Burger,750,12noon – 11pm (Mon-Sun),Chowringhee,Kolkata,Mon-Sun
Sweetish House Mafia,44,3.8,"10/3, Forum Courtyard (Basement), Elgin Road, Elgin, Kolkata","Mishti, Fast Food, South Indian",300,10am – 10pm (Mon-Sun),Elgin,Kolkata,Mon-Sun
Fries Before Guys,184,4.6,"31, Sarat Bose Road, Elgin, Kolkata","Mishti, Fast Food, South Indian",400,12noon – 12:30am (Mon-Sun),Elgin,Kolkata,Mon-Sun
Hooky Dooky,Cuisines:,-1.0,"53, Syed Amir Ali Avenue, Park Circus Area, Kolkata","Asian, Chinese",500,-1,Park Circus Area,Kolkata,Mon-Sun
Arun Tea Stall,467,4.1,"25/1, Shakespeare Sarani, Theatre Road, Kolkata","Asian, Chinese",100,7am – 10pm (Mon-Sun),Theatre Road,Kolkata,Mon-Sun
7 Point Family Restaurant,19,3.4,"6, Fazlul Haque Sarani, Park Circus Area, Kolkata",Healthy Food,500,11am – 11pm (Mon-Sun),Park Circus Area,Kolkata,Mon-Sun
Anna's Kitchen,24,3.6,"3B, Short Street, Opposite St. Xavier Back Gate, Theatre Road, Kolkata",Healthy Food,300,"8am – 8pm (Mon-Sat),Closed (Sun)",Theatre Road,Kolkata,Mon-Sat
Mom's Breakfast Magic,75,3.8,"5A, 2nd Lane, Ahiripukur, Tiljala, Beck Bagan Park Circus Area, Kolkata",Biryani,400,8am – 8pm (Mon-Sun),Beck Bagan Park Circus Area,Kolkata,Mon-Sun
Darjeeling Momo Junction,47,2.7,"8 Lenin Sarani, Opposite Gajkumar Showroom, IDBI Bank Building, New Market Area Kolkata",Biryani,150,12noon – 9:30pm (Mon-Sun),IDBI Bank Building,New Market Area Kolkata,Mon-Sun
Lazzat,133,3.6,"12, Royd Street, Wellesley, Kolkata","Chinese, Rolls, Kebab, Biryani",600,12noon – 11pm (Mon-Sun),Wellesley,Kolkata,Mon-Sun
